sku,url,ok,http_status,final_url,error
L1-CIE0580-E1-10,https://payhip.com/b/S3vB4,yes,200,https://payhip.com/b/S3vB4,
L1-CIE0580-E1-11,https://payhip.com/b/uvc81,yes,200,https://payhip.com/b/uvc81,
L1-CIE0580-E1-12,https://payhip.com/b/5iP4L,yes,200,https://payhip.com/b/5iP4L,
L1-CIE0580-E1-13,https://payhip.com/b/Awakv,yes,200,https://payhip.com/b/Awakv,
L1-CIE0580-E1-14,https://payhip.com/b/WElfF,yes,200,https://payhip.com/b/WElfF,
L1-CIE0580-E1-15,https://payhip.com/b/FS2n8,yes,200,https://payhip.com/b/FS2n8,
L1-CIE0580-E1-16,https://payhip.com/b/Wqj0N,yes,200,https://payhip.com/b/Wqj0N,
L1-CIE0580-E1-17,https://payhip.com/b/I6AvU,yes,200,https://payhip.com/b/I6AvU,
L1-CIE0580-E1-18,https://payhip.com/b/4ImLD,yes,200,https://payhip.com/b/4ImLD,
L1-CIE0580-E2-01,https://payhip.com/b/8uBvQ,yes,200,https://payhip.com/b/8uBvQ,
L1-CIE0580-E2-02,https://payhip.com/b/kdCbX,yes,200,https://payhip.com/b/kdCbX,
L1-CIE0580-E2-03,https://payhip.com/b/FNdGQ,yes,200,https://payhip.com/b/FNdGQ,
L1-CIE0580-E2-04,https://payhip.com/b/0vKcu,yes,200,https://payhip.com/b/0vKcu,
L1-CIE0580-E2-05,https://payhip.com/b/KjnkU,yes,200,https://payhip.com/b/KjnkU,
L1-CIE0580-E2-06,https://payhip.com/b/5KVav,yes,200,https://payhip.com/b/5KVav,
L1-CIE0580-E2-07,https://payhip.com/b/zALRG,yes,200,https://payhip.com/b/zALRG,
L1-CIE0580-E2-08,https://payhip.com/b/uGaDh,yes,200,https://payhip.com/b/uGaDh,
L1-CIE0580-E2-09,https://payhip.com/b/KArGe,yes,200,https://payhip.com/b/KArGe,
L1-CIE0580-E2-10,https://payhip.com/b/YAVdb,yes,200,https://payhip.com/b/YAVdb,
L1-CIE0580-E2-11,https://payhip.com/b/JCKwT,yes,200,https://payhip.com/b/JCKwT,
L1-CIE0580-E2-12,https://payhip.com/b/ZLedt,yes,200,https://payhip.com/b/ZLedt,
L1-CIE0580-E2-13,https://payhip.com/b/BGoH5,yes,200,https://payhip.com/b/BGoH5,
L1-CIE0580-E3-01,https://payhip.com/b/GsRvW,yes,200,https://payhip.com/b/GsRvW,
L1-CIE0580-E3-02,https://payhip.com/b/F2N4B,yes,200,https://payhip.com/b/F2N4B,
L1-CIE0580-E3-03,https://payhip.com/b/cp50t,yes,200,https://payhip.com/b/cp50t,
