sku,level,board,listing_title,source_slug_candidate,source_payhip_url_seed,final_payhip_url,update_target_file,update_target_key_path,status_backfilled,status_verified_live,notes
L3-CIE0580-U1,L3,cie0580,CIE 0580 U1 Number Unit Bundle,l3-cie0580-u1,https://payhip.com/25maths?src=cie0580-unit-number,"",_data/kahoot_presale_catalog.json,boards.cie0580.units[key=number].presale_url,"","",""
L3-CIE0580-U2,L3,cie0580,CIE 0580 U2 Algebra and Graphs Unit Bundle,l3-cie0580-u2,https://payhip.com/25maths?src=cie0580-unit-algebra,"",_data/kahoot_presale_catalog.json,boards.cie0580.units[key=algebra].presale_url,"","",""
L3-CIE0580-U3,L3,cie0580,CIE 0580 U3 Coordinate Geometry Unit Bundle,l3-cie0580-u3,https://payhip.com/25maths?src=cie0580-unit-coordinate,"",_data/kahoot_presale_catalog.json,boards.cie0580.units[key=coordinate].presale_url,"","",""
L3-CIE0580-U4,L3,cie0580,CIE 0580 U4 Geometry Unit Bundle,l3-cie0580-u4,https://payhip.com/25maths?src=cie0580-unit-geometry,"",_data/kahoot_presale_catalog.json,boards.cie0580.units[key=geometry].presale_url,"","",""
L3-CIE0580-U5,L3,cie0580,CIE 0580 U5 Mensuration Unit Bundle,l3-cie0580-u5,https://payhip.com/25maths?src=cie0580-unit-mensuration,"",_data/kahoot_presale_catalog.json,boards.cie0580.units[key=mensuration].presale_url,"","",""
L3-CIE0580-U6,L3,cie0580,CIE 0580 U6 Trigonometry Unit Bundle,l3-cie0580-u6,https://payhip.com/25maths?src=cie0580-unit-trigonometry,"",_data/kahoot_presale_catalog.json,boards.cie0580.units[key=trigonometry].presale_url,"","",""
L3-CIE0580-U7,L3,cie0580,CIE 0580 U7 Transformations and Vectors Unit Bundle,l3-cie0580-u7,https://payhip.com/25maths?src=cie0580-unit-transformations,"",_data/kahoot_presale_catalog.json,boards.cie0580.units[key=transformations].presale_url,"","",""
L3-CIE0580-U8,L3,cie0580,CIE 0580 U8 Probability Unit Bundle,l3-cie0580-u8,https://payhip.com/25maths?src=cie0580-unit-probability,"",_data/kahoot_presale_catalog.json,boards.cie0580.units[key=probability].presale_url,"","",""
L3-CIE0580-U9,L3,cie0580,CIE 0580 U9 Statistics Unit Bundle,l3-cie0580-u9,https://payhip.com/25maths?src=cie0580-unit-statistics,"",_data/kahoot_presale_catalog.json,boards.cie0580.units[key=statistics].presale_url,"","",""
L3-EDX4MA1-U1,L3,edexcel-4ma1,Edexcel 4MA1 U1 Number and Arithmetic Unit Bundle,l3-edx4ma1-u1,https://payhip.com/25maths?src=edexcel4ma1-unit-number,"",_data/kahoot_presale_catalog.json,boards.edexcel-4ma1.units[key=number].presale_url,"","",""
L3-EDX4MA1-U2,L3,edexcel-4ma1,"Edexcel 4MA1 U2 Equations, Formulae and Identities Unit Bundle",l3-edx4ma1-u2,https://payhip.com/25maths?src=edexcel4ma1-unit-equations,"",_data/kahoot_presale_catalog.json,boards.edexcel-4ma1.units[key=equations].presale_url,"","",""
L3-EDX4MA1-U3,L3,edexcel-4ma1,"Edexcel 4MA1 U3 Functions, Sequences and Graphs Unit Bundle",l3-edx4ma1-u3,https://payhip.com/25maths?src=edexcel4ma1-unit-sequences,"",_data/kahoot_presale_catalog.json,boards.edexcel-4ma1.units[key=sequences].presale_url,"","",""
L3-EDX4MA1-U4,L3,edexcel-4ma1,Edexcel 4MA1 U4 Geometry and Mensuration Unit Bundle,l3-edx4ma1-u4,https://payhip.com/25maths?src=edexcel4ma1-unit-geometry,"",_data/kahoot_presale_catalog.json,boards.edexcel-4ma1.units[key=geometry].presale_url,"","",""
L3-EDX4MA1-U5,L3,edexcel-4ma1,Edexcel 4MA1 U5 Vectors and Transformations Unit Bundle,l3-edx4ma1-u5,https://payhip.com/25maths?src=edexcel4ma1-unit-vectors,"",_data/kahoot_presale_catalog.json,boards.edexcel-4ma1.units[key=vectors].presale_url,"","",""
L3-EDX4MA1-U6,L3,edexcel-4ma1,Edexcel 4MA1 U6 Statistics and Probability Unit Bundle,l3-edx4ma1-u6,https://payhip.com/25maths?src=edexcel4ma1-unit-statistics,"",_data/kahoot_presale_catalog.json,boards.edexcel-4ma1.units[key=statistics].presale_url,"","",""
