upload_priority,sku,level,board,board_label,tier_scope,final_title_en,title_variant_used,final_title_len,listing_title_short_en,listing_title_mobile_en,price_early_bird,price_regular,payhip_url_seed
4,L1-CIE0580-C2-04,L1,cie0580,CIE 0580,Core,CIE 0580 C2-04 Indices Ii (Core),short,32,CIE 0580 C2-04 Indices Ii (Core),CIE 0580 C2-04 Indices Ii (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-04
4,L1-CIE0580-C2-05,L1,cie0580,CIE 0580,Core,CIE 0580 C2-05 Equations (Core),short,31,CIE 0580 C2-05 Equations (Core),CIE 0580 C2-05 Equations (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-05
4,L1-CIE0580-C2-06,L1,cie0580,CIE 0580,Core,CIE 0580 C2-06 Inequalities (Core),short,34,CIE 0580 C2-06 Inequalities (Core),CIE 0580 C2-06 Inequalities (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-06
4,L1-CIE0580-C2-07,L1,cie0580,CIE 0580,Core,CIE 0580 C2-07 Sequences (Core),short,31,CIE 0580 C2-07 Sequences (Core),CIE 0580 C2-07 Sequences (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-07
4,L1-CIE0580-C2-09,L1,cie0580,CIE 0580,Core,CIE 0580 C2-09 Graphs In Practical Situations (Core),short,52,CIE 0580 C2-09 Graphs In Practical Situations (Core),CIE 0580 C2-09 Graphs In Practical Situations (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-09
4,L1-CIE0580-C2-10,L1,cie0580,CIE 0580,Core,CIE 0580 C2-10 Graphs Of Functions (Core),short,41,CIE 0580 C2-10 Graphs Of Functions (Core),CIE 0580 C2-10 Graphs Of Functions (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-10
4,L1-CIE0580-C2-11,L1,cie0580,CIE 0580,Core,CIE 0580 C2-11 Sketching Curves (Core),short,38,CIE 0580 C2-11 Sketching Curves (Core),CIE 0580 C2-11 Sketching Curves (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-11
4,L1-CIE0580-C3-01,L1,cie0580,CIE 0580,Core,CIE 0580 C3-01 Coordinates (Core),short,33,CIE 0580 C3-01 Coordinates (Core),CIE 0580 C3-01 Coordinates (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c3-01
4,L1-CIE0580-C3-02,L1,cie0580,CIE 0580,Core,CIE 0580 C3-02 Drawing Linear Graphs (Core),short,43,CIE 0580 C3-02 Drawing Linear Graphs (Core),CIE 0580 C3-02 Drawing Linear Graphs (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c3-02
4,L1-CIE0580-C3-03,L1,cie0580,CIE 0580,Core,CIE 0580 C3-03 Gradient Of Linear Graphs (Core),short,47,CIE 0580 C3-03 Gradient Of Linear Graphs (Core),CIE 0580 C3-03 Gradient Of Linear Graphs (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c3-03
4,L1-CIE0580-C3-05,L1,cie0580,CIE 0580,Core,CIE 0580 C3-05 Equations Of Linear Graphs (Core),short,48,CIE 0580 C3-05 Equations Of Linear Graphs (Core),CIE 0580 C3-05 Equations Of Linear Graphs (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c3-05
4,L1-CIE0580-C3-06,L1,cie0580,CIE 0580,Core,CIE 0580 C3-06 Parallel Lines (Core),short,36,CIE 0580 C3-06 Parallel Lines (Core),CIE 0580 C3-06 Parallel Lines (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c3-06
4,L1-CIE0580-C4-01,L1,cie0580,CIE 0580,Core,CIE 0580 C4-01 Geo Terms (Core),short,31,CIE 0580 C4-01 Geo Terms (Core),CIE 0580 C4-01 Geo Terms (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c4-01
4,L1-CIE0580-C4-02,L1,cie0580,CIE 0580,Core,CIE 0580 C4-02 Geo Constructions (Core),short,39,CIE 0580 C4-02 Geo Constructions (Core),CIE 0580 C4-02 Geo Constructions (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c4-02
4,L1-CIE0580-C4-03,L1,cie0580,CIE 0580,Core,CIE 0580 C4-03 Scale Drawings (Core),short,36,CIE 0580 C4-03 Scale Drawings (Core),CIE 0580 C4-03 Scale Drawings (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c4-03
4,L1-CIE0580-C4-04,L1,cie0580,CIE 0580,Core,CIE 0580 C4-04 Similarity (Core),short,32,CIE 0580 C4-04 Similarity (Core),CIE 0580 C4-04 Similarity (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c4-04
4,L1-CIE0580-C4-05,L1,cie0580,CIE 0580,Core,CIE 0580 C4-05 Symmetry (Core),short,30,CIE 0580 C4-05 Symmetry (Core),CIE 0580 C4-05 Symmetry (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c4-05
4,L1-CIE0580-C4-06,L1,cie0580,CIE 0580,Core,CIE 0580 C4-06 Angles (Core),short,28,CIE 0580 C4-06 Angles (Core),CIE 0580 C4-06 Angles (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c4-06
4,L1-CIE0580-C4-07,L1,cie0580,CIE 0580,Core,CIE 0580 C4-07 Circle Theorems (Core),short,37,CIE 0580 C4-07 Circle Theorems (Core),CIE 0580 C4-07 Circle Theorems (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c4-07
4,L1-CIE0580-C5-01,L1,cie0580,CIE 0580,Core,CIE 0580 C5-01 Units Of Measure (Core),short,38,CIE 0580 C5-01 Units Of Measure (Core),CIE 0580 C5-01 Units Of Measure (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c5-01
4,L1-CIE0580-C5-02,L1,cie0580,CIE 0580,Core,CIE 0580 C5-02 Area & Perimeter (Core),short,38,CIE 0580 C5-02 Area & Perimeter (Core),CIE 0580 C5-02 Area & Perimeter (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c5-02
4,L1-CIE0580-C5-03,L1,cie0580,CIE 0580,Core,CIE 0580 C5-03 Circles Arcs & Sectors (Core),short,44,CIE 0580 C5-03 Circles Arcs & Sectors (Core),CIE 0580 C5-03 Circles Arcs & Sectors (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c5-03
4,L1-CIE0580-C5-04,L1,cie0580,CIE 0580,Core,CIE 0580 C5-04 Surface Area & Volume (Core),short,43,CIE 0580 C5-04 Surface Area & Volume (Core),CIE 0580 C5-04 Surface Area & Volume (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c5-04
4,L1-CIE0580-C5-05,L1,cie0580,CIE 0580,Core,CIE 0580 C5-05 Compound Shapes (Core),short,37,CIE 0580 C5-05 Compound Shapes (Core),CIE 0580 C5-05 Compound Shapes (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c5-05
4,L1-CIE0580-C6-01,L1,cie0580,CIE 0580,Core,CIE 0580 C6-01 Pythagoras (Core),short,32,CIE 0580 C6-01 Pythagoras (Core),CIE 0580 C6-01 Pythagoras (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c6-01
