upload_priority,sku,level,board,board_label,tier_scope,listing_title,listing_title_short_en,listing_title_mobile_en,listing_title_original_len,listing_title_short_len,listing_title_mobile_len,price_early_bird,price_regular,payhip_url_seed,slug_candidate
3,L2-CIE0580-E2,L2,cie0580,CIE 0580,Extended,CIE 0580 E2 Algebra and Graphs (Extended) Section Bundle,CIE 0580 E2 Algebra & Graphs (Extended) Sec Bundle,CIE 0580 E2 Algebra & Graphs (Extended) Sec Bundle,56,50,50,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,l2-cie0580-e2
3,L2-CIE0580-E3,L2,cie0580,CIE 0580,Extended,CIE 0580 E3 Coordinate Geometry (Extended) Section Bundle,CIE 0580 E3 Coord Geometry (Extended) Sec Bundle,CIE 0580 E3 Coord Geometry (Extended) Sec Bundle,57,48,48,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e3,l2-cie0580-e3
3,L2-CIE0580-E4,L2,cie0580,CIE 0580,Extended,CIE 0580 E4 Geometry (Extended) Section Bundle,CIE 0580 E4 Geometry (Extended) Sec Bundle,CIE 0580 E4 Geometry (Extended) Sec Bundle,46,42,42,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e4,l2-cie0580-e4
3,L2-CIE0580-E5,L2,cie0580,CIE 0580,Extended,CIE 0580 E5 Mensuration (Extended) Section Bundle,CIE 0580 E5 Mensuration (Extended) Sec Bundle,CIE 0580 E5 Mensuration (Extended) Sec Bundle,49,45,45,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e5,l2-cie0580-e5
3,L2-CIE0580-E6,L2,cie0580,CIE 0580,Extended,CIE 0580 E6 Trigonometry (Extended) Section Bundle,CIE 0580 E6 Trigonometry (Extended) Sec Bundle,CIE 0580 E6 Trigonometry (Extended) Sec Bundle,50,46,46,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e6,l2-cie0580-e6
3,L2-CIE0580-E7,L2,cie0580,CIE 0580,Extended,CIE 0580 E7 Transformations and Vectors (Extended) Section Bundle,CIE 0580 E7 Transforms & Vectors (Extended) Sec Bundle,CIE0580 E7 Transforms & Vectors (Ext) Sec Bundle,65,54,48,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e7,l2-cie0580-e7
3,L2-CIE0580-E8,L2,cie0580,CIE 0580,Extended,CIE 0580 E8 Probability (Extended) Section Bundle,CIE 0580 E8 Probability (Extended) Sec Bundle,CIE 0580 E8 Probability (Extended) Sec Bundle,49,45,45,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e8,l2-cie0580-e8
3,L2-CIE0580-E9,L2,cie0580,CIE 0580,Extended,CIE 0580 E9 Statistics (Extended) Section Bundle,CIE 0580 E9 Statistics (Extended) Sec Bundle,CIE 0580 E9 Statistics (Extended) Sec Bundle,48,44,44,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e9,l2-cie0580-e9
3,L2-EDX4MA1-F1,L2,edexcel-4ma1,Edexcel 4MA1,Foundation,Edexcel 4MA1 F1 Number and Arithmetic (Foundation) Section Bundle,Edexcel 4MA1 F1 Number & Arithmetic (Foundation) Sec Bundle,4MA1 F1 Number & Arithmetic (Foundation) Sec Bundle,65,59,51,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f1,l2-edx4ma1-f1
3,L2-EDX4MA1-F2,L2,edexcel-4ma1,Edexcel 4MA1,Foundation,"Edexcel 4MA1 F2 Equations, Formulae and Identities (Foundation) Section Bundle","4MA1 F2 Equations, Formulae & Identities (Foundation) Sec Bundle","4MA1 F2 Equations, Formulae&Identities Fdn Sec Bund…",78,64,52,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f2,l2-edx4ma1-f2
3,L2-EDX4MA1-F3,L2,edexcel-4ma1,Edexcel 4MA1,Foundation,"Edexcel 4MA1 F3 Functions, Sequences and Graphs (Foundation) Section Bundle","4MA1 F3 Functions, Sequences & Graphs (Foundation) Sec Bundle","4MA1 F3 Functions, Sequences&Graphs (Fdn) Sec Bundle",75,61,52,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f3,l2-edx4ma1-f3
3,L2-EDX4MA1-F4,L2,edexcel-4ma1,Edexcel 4MA1,Foundation,Edexcel 4MA1 F4 Geometry and Mensuration (Foundation) Section Bundle,Edexcel 4MA1 F4 Geometry & Mensuration (Foundation) Sec Bundle,4MA1 F4 Geometry & Mensuration (Fdn) Sec Bundle,68,62,47,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f4,l2-edx4ma1-f4
3,L2-EDX4MA1-F5,L2,edexcel-4ma1,Edexcel 4MA1,Foundation,Edexcel 4MA1 F5 Vectors and Transformations (Foundation) Section Bundle,Edexcel 4MA1 F5 Vectors & Transforms (Foundation) Sec Bundle,4MA1 F5 Vectors & Transforms (Foundation) Sec Bundle,71,60,52,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f5,l2-edx4ma1-f5
3,L2-EDX4MA1-F6,L2,edexcel-4ma1,Edexcel 4MA1,Foundation,Edexcel 4MA1 F6 Statistics and Probability (Foundation) Section Bundle,Edexcel 4MA1 F6 Stats & Prob (Foundation) Sec Bundle,Edexcel 4MA1 F6 Stats & Prob (Foundation) Sec Bundle,70,52,52,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f6,l2-edx4ma1-f6
3,L2-EDX4MA1-H1,L2,edexcel-4ma1,Edexcel 4MA1,Higher,Edexcel 4MA1 H1 Number and Arithmetic (Higher) Section Bundle,Edexcel 4MA1 H1 Number & Arithmetic (Higher) Sec Bundle,4MA1 H1 Number & Arithmetic (Higher) Sec Bundle,61,55,47,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h1,l2-edx4ma1-h1
3,L2-EDX4MA1-H2,L2,edexcel-4ma1,Edexcel 4MA1,Higher,"Edexcel 4MA1 H2 Equations, Formulae and Identities (Higher) Section Bundle","Edexcel 4MA1 H2 Equations, Formulae & Identities (Higher) Sec Bundle","4MA1 H2 Equations, Formulae&Identities H Sec Bundle",74,68,51,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h2,l2-edx4ma1-h2
3,L2-EDX4MA1-H3,L2,edexcel-4ma1,Edexcel 4MA1,Higher,"Edexcel 4MA1 H3 Functions, Sequences and Graphs (Higher) Section Bundle","Edexcel 4MA1 H3 Functions, Sequences & Graphs (Higher) Sec Bundle","4MA1 H3 Functions, Sequences & Graphs (H) Sec Bundle",71,65,52,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h3,l2-edx4ma1-h3
3,L2-EDX4MA1-H4,L2,edexcel-4ma1,Edexcel 4MA1,Higher,Edexcel 4MA1 H4 Geometry and Mensuration (Higher) Section Bundle,Edexcel 4MA1 H4 Geometry & Mensuration (Higher) Sec Bundle,4MA1 H4 Geometry & Mensuration (Higher) Sec Bundle,64,58,50,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h4,l2-edx4ma1-h4
3,L2-EDX4MA1-H5,L2,edexcel-4ma1,Edexcel 4MA1,Higher,Edexcel 4MA1 H5 Vectors and Transformations (Higher) Section Bundle,Edexcel 4MA1 H5 Vectors & Transforms (Higher) Sec Bundle,4MA1 H5 Vectors & Transforms (Higher) Sec Bundle,67,56,48,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h5,l2-edx4ma1-h5
3,L2-EDX4MA1-H6,L2,edexcel-4ma1,Edexcel 4MA1,Higher,Edexcel 4MA1 H6 Statistics and Probability (Higher) Section Bundle,Edexcel 4MA1 H6 Stats & Prob (Higher) Sec Bundle,Edexcel 4MA1 H6 Stats & Prob (Higher) Sec Bundle,66,48,48,US$12,US$15,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h6,l2-edx4ma1-h6
