upload_priority,sku,level,board,board_label,tier_scope,listing_title,listing_title_short_en,listing_title_mobile_en,listing_title_original_len,listing_title_short_len,listing_title_mobile_len,price_early_bird,price_regular,payhip_url_seed,slug_candidate
3,L2-CIE0580-C1,L2,cie0580,CIE 0580,Core,CIE 0580 C1 Number (Core) Section Bundle,CIE 0580 C1 Number (Core) Sec Bundle,CIE 0580 C1 Number (Core) Sec Bundle,40,36,36,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,l2-cie0580-c1
3,L2-CIE0580-C2,L2,cie0580,CIE 0580,Core,CIE 0580 C2 Algebra and Graphs (Core) Section Bundle,CIE 0580 C2 Algebra & Graphs (Core) Sec Bundle,CIE 0580 C2 Algebra & Graphs (Core) Sec Bundle,52,46,46,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,l2-cie0580-c2
3,L2-CIE0580-C3,L2,cie0580,CIE 0580,Core,CIE 0580 C3 Coordinate Geometry (Core) Section Bundle,CIE 0580 C3 Coord Geometry (Core) Sec Bundle,CIE 0580 C3 Coord Geometry (Core) Sec Bundle,53,44,44,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c3,l2-cie0580-c3
3,L2-CIE0580-C4,L2,cie0580,CIE 0580,Core,CIE 0580 C4 Geometry (Core) Section Bundle,CIE 0580 C4 Geometry (Core) Sec Bundle,CIE 0580 C4 Geometry (Core) Sec Bundle,42,38,38,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c4,l2-cie0580-c4
3,L2-CIE0580-C5,L2,cie0580,CIE 0580,Core,CIE 0580 C5 Mensuration (Core) Section Bundle,CIE 0580 C5 Mensuration (Core) Sec Bundle,CIE 0580 C5 Mensuration (Core) Sec Bundle,45,41,41,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c5,l2-cie0580-c5
3,L2-CIE0580-C6,L2,cie0580,CIE 0580,Core,CIE 0580 C6 Trigonometry (Core) Section Bundle,CIE 0580 C6 Trigonometry (Core) Sec Bundle,CIE 0580 C6 Trigonometry (Core) Sec Bundle,46,42,42,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c6,l2-cie0580-c6
3,L2-CIE0580-C7,L2,cie0580,CIE 0580,Core,CIE 0580 C7 Transformations and Vectors (Core) Section Bundle,CIE 0580 C7 Transforms & Vectors (Core) Sec Bundle,CIE 0580 C7 Transforms & Vectors (Core) Sec Bundle,61,50,50,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c7,l2-cie0580-c7
3,L2-CIE0580-C8,L2,cie0580,CIE 0580,Core,CIE 0580 C8 Probability (Core) Section Bundle,CIE 0580 C8 Probability (Core) Sec Bundle,CIE 0580 C8 Probability (Core) Sec Bundle,45,41,41,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c8,l2-cie0580-c8
3,L2-CIE0580-C9,L2,cie0580,CIE 0580,Core,CIE 0580 C9 Statistics (Core) Section Bundle,CIE 0580 C9 Statistics (Core) Sec Bundle,CIE 0580 C9 Statistics (Core) Sec Bundle,44,40,40,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c9,l2-cie0580-c9
3,L2-CIE0580-E1,L2,cie0580,CIE 0580,Extended,CIE 0580 E1 Number (Extended) Section Bundle,CIE 0580 E1 Number (Extended) Sec Bundle,CIE 0580 E1 Number (Extended) Sec Bundle,44,40,40,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e1,l2-cie0580-e1
