upload_priority,sku,level,board,board_label,tier_scope,listing_title,listing_title_short_en,listing_title_mobile_en,listing_title_original_len,listing_title_short_len,listing_title_mobile_len,price_early_bird,price_regular,payhip_url_seed,slug_candidate
4,L1-CIE0580-C1-01,L1,cie0580,CIE 0580,Core,CIE 0580 C1-01 Types Of Number Worksheet + Kahoot Companion (Core),CIE 0580 C1-01 Types Of Number (Core),CIE 0580 C1-01 Types Of Number (Core),66,37,37,US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-01,l1-cie0580-c1-01
4,L1-CIE0580-C1-02,L1,cie0580,CIE 0580,Core,CIE 0580 C1-02 Sets Worksheet + Kahoot Companion (Core),CIE 0580 C1-02 Sets (Core),CIE 0580 C1-02 Sets (Core),55,26,26,US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-02,l1-cie0580-c1-02
4,L1-CIE0580-C1-03,L1,cie0580,CIE 0580,Core,CIE 0580 C1-03 Powers And Roots Worksheet + Kahoot Companion (Core),CIE 0580 C1-03 Powers & Roots (Core),CIE 0580 C1-03 Powers & Roots (Core),67,36,36,US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-03,l1-cie0580-c1-03
4,L1-CIE0580-C1-04,L1,cie0580,CIE 0580,Core,CIE 0580 C1-04 Fractions Decimals Percentages Worksheet + Kahoot Companion (Core),CIE 0580 C1-04 FDP (Core),CIE 0580 C1-04 FDP (Core),81,25,25,US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-04,l1-cie0580-c1-04
4,L1-CIE0580-C1-05,L1,cie0580,CIE 0580,Core,CIE 0580 C1-05 Ordering Worksheet + Kahoot Companion (Core),CIE 0580 C1-05 Ordering (Core),CIE 0580 C1-05 Ordering (Core),59,30,30,US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-05,l1-cie0580-c1-05
4,L1-CIE0580-C1-06,L1,cie0580,CIE 0580,Core,CIE 0580 C1-06 Four Operations Worksheet + Kahoot Companion (Core),CIE 0580 C1-06 Four Operations (Core),CIE 0580 C1-06 Four Operations (Core),66,37,37,US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-06,l1-cie0580-c1-06
4,L1-CIE0580-C1-07,L1,cie0580,CIE 0580,Core,CIE 0580 C1-07 Indices I Worksheet + Kahoot Companion (Core),CIE 0580 C1-07 Indices I (Core),CIE 0580 C1-07 Indices I (Core),60,31,31,US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-07,l1-cie0580-c1-07
4,L1-CIE0580-C1-08,L1,cie0580,CIE 0580,Core,CIE 0580 C1-08 Standard Form Worksheet + Kahoot Companion (Core),CIE 0580 C1-08 Standard Form (Core),CIE 0580 C1-08 Standard Form (Core),64,35,35,US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-08,l1-cie0580-c1-08
4,L1-CIE0580-C1-09,L1,cie0580,CIE 0580,Core,CIE 0580 C1-09 Estimation And Approximation Worksheet + Kahoot Companion (Core),CIE 0580 C1-09 Estimation & Approximation (Core),CIE 0580 C1-09 Estimation & Approximation (Core),79,48,48,US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-09,l1-cie0580-c1-09
4,L1-CIE0580-C1-10,L1,cie0580,CIE 0580,Core,CIE 0580 C1-10 Limits Of Accuracy Worksheet + Kahoot Companion (Core),CIE 0580 C1-10 Limits Of Accuracy (Core),CIE 0580 C1-10 Limits Of Accuracy (Core),69,40,40,US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-10,l1-cie0580-c1-10
