upload_priority,sku,level,board,board_label,tier_scope,final_title_en,title_variant_used,final_title_len,listing_title_short_en,listing_title_mobile_en,price_early_bird,price_regular,payhip_url_seed
3,L2-CIE0580-C1,L2,cie0580,CIE 0580,Core,CIE 0580 C1 Number (Core) Sec Bundle,short,36,CIE 0580 C1 Number (Core) Sec Bundle,CIE 0580 C1 Number (Core) Sec Bundle,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1
3,L2-CIE0580-C2,L2,cie0580,CIE 0580,Core,CIE 0580 C2 Algebra & Graphs (Core) Sec Bundle,short,46,CIE 0580 C2 Algebra & Graphs (Core) Sec Bundle,CIE 0580 C2 Algebra & Graphs (Core) Sec Bundle,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2
3,L2-CIE0580-C3,L2,cie0580,CIE 0580,Core,CIE 0580 C3 Coord Geometry (Core) Sec Bundle,short,44,CIE 0580 C3 Coord Geometry (Core) Sec Bundle,CIE 0580 C3 Coord Geometry (Core) Sec Bundle,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c3
3,L2-CIE0580-C4,L2,cie0580,CIE 0580,Core,CIE 0580 C4 Geometry (Core) Sec Bundle,short,38,CIE 0580 C4 Geometry (Core) Sec Bundle,CIE 0580 C4 Geometry (Core) Sec Bundle,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c4
3,L2-CIE0580-C5,L2,cie0580,CIE 0580,Core,CIE 0580 C5 Mensuration (Core) Sec Bundle,short,41,CIE 0580 C5 Mensuration (Core) Sec Bundle,CIE 0580 C5 Mensuration (Core) Sec Bundle,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c5
3,L2-CIE0580-C6,L2,cie0580,CIE 0580,Core,CIE 0580 C6 Trigonometry (Core) Sec Bundle,short,42,CIE 0580 C6 Trigonometry (Core) Sec Bundle,CIE 0580 C6 Trigonometry (Core) Sec Bundle,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c6
3,L2-CIE0580-C7,L2,cie0580,CIE 0580,Core,CIE 0580 C7 Transforms & Vectors (Core) Sec Bundle,short,50,CIE 0580 C7 Transforms & Vectors (Core) Sec Bundle,CIE 0580 C7 Transforms & Vectors (Core) Sec Bundle,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c7
3,L2-CIE0580-C8,L2,cie0580,CIE 0580,Core,CIE 0580 C8 Probability (Core) Sec Bundle,short,41,CIE 0580 C8 Probability (Core) Sec Bundle,CIE 0580 C8 Probability (Core) Sec Bundle,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c8
3,L2-CIE0580-C9,L2,cie0580,CIE 0580,Core,CIE 0580 C9 Statistics (Core) Sec Bundle,short,40,CIE 0580 C9 Statistics (Core) Sec Bundle,CIE 0580 C9 Statistics (Core) Sec Bundle,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c9
3,L2-CIE0580-E1,L2,cie0580,CIE 0580,Extended,CIE 0580 E1 Number (Extended) Sec Bundle,short,40,CIE 0580 E1 Number (Extended) Sec Bundle,CIE 0580 E1 Number (Extended) Sec Bundle,US$12,US$15,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e1
